Strategy,Student,Step,AvgMastery
linucb,student_0,1,0.06904512333776835
linucb,student_0,2,0.06964036695978017
linucb,student_0,3,0.0697241278002468
linucb,student_0,4,0.06973600984264187
linucb,student_0,5,0.06973769731430467
linucb,student_0,6,0.06973793700555994
linucb,student_0,7,0.08561820316366288
linucb,student_0,8,0.07252102204074719
linucb,student_0,9,0.07014687379202118
linucb,student_0,10,0.06979634342885548
linucb,student_0,11,0.06974627319729136
linucb,student_0,12,0.06973915528729689
linucb,student_0,13,0.0697381441062184
linucb,student_0,14,0.09689151146958673
linucb,student_0,15,0.07544357590262626
linucb,student_0,16,0.07060763593517776
linucb,student_0,17,0.06986280310806964
linucb,student_0,18,0.06975573416285914
linucb,student_0,19,0.06974049959232916
linucb,student_0,20,0.08562163938861574
linucb,student_0,21,0.07252176506570074
linucb,student_0,22,0.10018393258100901
linucb,student_0,23,0.12585980795818522
linucb,student_0,24,0.13761307909518708
linucb,student_0,25,0.14715583872260748
linucb,student_0,26,0.14833584443614198
linucb,student_0,27,0.14850038333901366
linucb,student_0,28,0.14852369444564664
linucb,student_0,29,0.16680278533986306
linucb,student_0,30,0.15184737620768402
linucb,student_0,31,0.14901856820574247
linucb,student_0,32,0.14859771003293915
linucb,student_0,33,0.17395668985573445
linucb,student_0,34,0.2043812280064805
linucb,student_0,35,0.21674034005869036
linucb,student_0,36,0.22097752094971815
linucb,student_0,37,0.22255974339346896
linucb,student_0,38,0.22312398689022905
linucb,student_0,39,0.22334324396010544
linucb,student_0,40,0.22342268120355757
linucb,student_1,1,0.14513636420086662
linucb,student_1,2,0.14538960361836936
linucb,student_1,3,0.145425431107042
linucb,student_1,4,0.14543051734492615
linucb,student_1,5,0.14543123976353955
linucb,student_1,6,0.17073961918674674
linucb,student_1,7,0.19827002629480006
linucb,student_1,8,0.21280053123241968
linucb,student_1,9,0.21857742689276985
linucb,student_1,10,0.21932980599809135
linucb,student_1,11,0.2194354181372041
linucb,student_1,12,0.21945039474567404
linucb,student_1,13,0.2194525215989351
linucb,student_1,14,0.21945282369856833
linucb,student_1,15,0.2194528666102422
linucb,student_1,16,0.2194528727056462
linucb,student_1,17,0.21945287357147059
linucb,student_1,18,0.21945287369445698
linucb,student_1,19,0.2357127444695886
linucb,student_1,20,0.25565616234799843
linucb,student_1,21,0.27801810895472645
linucb,student_1,22,0.2883780522403743
linucb,student_1,23,0.29044441657591397
linucb,student_1,24,0.3127587133486732
linucb,student_1,25,0.3327677156134876
linucb,student_1,26,0.31588317735029686
linucb,student_1,27,0.3125349122422547
linucb,student_1,28,0.33197321058389995
linucb,student_1,29,0.31568588053077284
linucb,student_1,30,0.31250413405955463
linucb,student_1,31,0.33060320185599384
linucb,student_1,32,0.3153569729130047
linucb,student_1,33,0.31245316048014266
linucb,student_1,34,0.3120205960037638
linucb,student_1,35,0.31195872669775676
linucb,student_1,36,0.3311156308798244
linucb,student_1,37,0.3154783632674058
linucb,student_1,38,0.3124719247341781
linucb,student_1,39,0.33378215359749513
linucb,student_1,40,0.3638680872690532
linucb,student_2,1,0.09358931605441555
linucb,student_2,2,0.11525965169670349
linucb,student_2,3,0.13975026355687895
linucb,student_2,4,0.10859026073867091
linucb,student_2,5,0.1363333785956267
linucb,student_2,6,0.1065209433533275
linucb,student_2,7,0.09678188567755706
linucb,student_2,8,0.09513707527494103
linucb,student_2,9,0.09489714498079803
linucb,student_2,10,0.09486293352936433
linucb,student_2,11,0.0948580713059906
linucb,student_2,12,0.09485738059592036
linucb,student_2,13,0.09485728248261814
linucb,student_2,14,0.0948572685460478
linucb,student_2,15,0.09485726656642089
linucb,student_2,16,0.09485726628522388
linucb,student_2,17,0.09485726624528112
linucb,student_2,18,0.09485726623960744
linucb,student_2,19,0.09485726623880152
linucb,student_2,20,0.09485726623868705
linucb,student_2,21,0.09485726623867079
linucb,student_2,22,0.09485726623866847
linucb,student_2,23,0.12076479739272328
linucb,student_2,24,0.14955452461743482
linucb,student_2,25,0.16183150412182853
linucb,student_2,26,0.16690923542491942
linucb,student_2,27,0.1675772092762947
linucb,student_2,28,0.1676710973556671
linucb,student_2,29,0.19181534953780574
linucb,student_2,30,0.17249967088346432
linucb,student_2,31,0.1684119447917222
linucb,student_2,32,0.16779054692814746
linucb,student_2,33,0.16770139906711537
linucb,student_2,34,0.1948659906154273
linucb,student_2,35,0.22177636579241455
linucb,student_2,36,0.18935318668849363
linucb,student_2,37,0.17183729520424282
linucb,student_2,38,0.19767613065354953
linucb,student_2,39,0.22612738368284513
linucb,student_2,40,0.23657999861132625
linucb,student_3,1,0.09030341343217883
linucb,student_3,2,0.07145018554949742
linucb,student_3,3,0.06751148364634953
linucb,student_3,4,0.09720075119991362
linucb,student_3,5,0.12290078177999399
linucb,student_3,6,0.09089877952096527
linucb,student_3,7,0.07161506835126004
linucb,student_3,8,0.06753778221203872
linucb,student_3,9,0.06691808368249375
linucb,student_3,10,0.06682918204419214
linucb,student_3,11,0.0668165361108176
linucb,student_3,12,0.06681473945258996
linucb,student_3,13,0.06681448423817256
